"FortNames","lng","lat"
"Bishta Fort",74.255326,20.71367
"Karha Gad",74.237189,20.657487
"Ajmera Fort",74.285388,20.595589
"Dundha Fort",74.341993,20.620293
"Kankrala Fort",74.487412,20.706575
"Vasota Fort",73.696718,17.662997
"Tringalwadi Fort",73.561964,19.717343
"Aad Fort",73.909836,19.741177
"Adasul",72.932653,19.798767
"Gambhirgad",73.04801,20.053835
"Khairai",73.389187,20.145964
"Waghera Fort",73.48094,20.045691
"Dubergad",73.968887,19.790772
"Songad",74.041328,19.671989
"Parvatgad",74.033861,19.671746
"Padargad",73.523426,19.052545
"Bhorgiri",73.568455,19.049918
"Induri Fort",73.713884,18.735705
"Alakuti Fort",74.234914,19.058523
"Loni Mavla Fort",74.277985,19.028468
"Jamgaon Fort",74.517174,19.067411
"Ahmadnagar Fort",74.755182,19.094625
"Palashi Fort",74.401302,19.282811
"Pemgiri Fort",74.092655,19.465338
"Bahadurgad",74.704885,18.509747
"Ghargad",73.641529,19.884871
"Ranjangiri",73.628912,19.910506
"Bahula Fort",73.704143,19.868405
"Bhandardurga",73.515143,19.93071
"Palashi Fort",74.401453,19.282709
"Nagar Fort",74.755054,19.09501
"Hatgad",73.760775,20.542356
"Gadgada",73.641508,19.884922
"Gadgada",73.641572,19.884952
"Bahula",73.704057,19.868284
"Ranjangiri",73.628268,19.909911
"Pemgiri",74.09287,19.464974
"Karmala",75.19117,18.408569
"Paranda",75.453072,18.269965
"Ausa",76.499487,18.240744
"Udagir",77.117838,18.402852
"Bidar",77.528543,17.923863
"Kangori / Mangalgad",73.579087,18.05152
"Chandragad / Dhawalagad",73.619256,18.00204
"Avachitgad",73.118091,18.474501
"Khubladha",72.856495,18.699309
"Birwadi Fort",73.040929,18.424204
"Talagad",73.135396,18.292525
"Manikgad",73.194212,18.826204
"Sankshi Fort",73.131115,18.787276
"Pemgiri",74.092355,19.465419
"Palashi",74.40083,19.28275
"Avachitgad",73.117876,18.47444
"Surgad",73.226516,18.453924
"Manikgad",73.194201,18.826732
"Takmak",72.943897,19.566018
"Birwadi Fort",73.041165,18.424245
"Talagad",73.135514,18.292515
"Chambhargad",73.428969,18.094297
"Songad",73.38938,18.097703
"Daulatgad",73.35567,18.091095
"Panhaledurga",73.353642,18.173224
"Kangori",73.579173,18.051036
"Durgadi Fort",73.621252,18.077943
"Avachitgad",73.117962,18.47448
"Vardhangad",74.263807,17.726026
"Mahimangad",73.609428,17.710099
"Bhiravgad Fort",73.675797,17.325793
"Prachitgad",73.690495,17.225619
"Mahimatgad",73.712232,17.089624
"Vasantgad",74.103663,17.331262
"Daategad",73.864362,17.379392
"Sadashivgad",74.236765,17.313113
"Macchindragad",74.268726,17.164338
"Antur",75.23622,20.427013
"Abhasgad",75.58156,20.566823
"Kanhera",74.968439,20.328838
"Baitulwadi Fort",75.621547,20.553904
"Sutonda Fort",75.355525,20.469717
"Lonza Fort",75.204334,20.420658
"Lahugad",75.533323,20.030492
"Gunvantagad",73.855494,17.333305
"Nagar Fort",74.755311,19.095517
"Paranda Fort",75.453029,18.270067
"Ausa Fort",76.499552,18.240876
"Karmala Fort",75.19102,18.408182
"Udagir Fort",77.117822,18.402842
"Kandhar Fort",77.2017,18.874027
"Nanded Fort",77.324465,19.142077
"Mahur Fort",77.927366,19.837486
"Akola Fort",76.989913,20.706334
"Balapur Fort",76.773673,20.670261
"Narnala Fort",77.028322,21.238342
"Aamner Fort",76.784424,21.529777
"Gavilgad",77.336669,21.37646
"Achalpur Fort",77.515626,21.254522
"Mailagad",76.422958,21.078604
"Palashi Fort",74.401377,19.283003
"Mahipalgad",74.384651,15.902513
"Gandharvagad",74.240112,15.954748
"Bhudargad",74.142351,16.251141
"Pandavgad",73.863015,17.998815
"Kenjalgad",73.745384,18.025343
"Kamalgad",73.745041,17.970406
"Durg",73.620973,18.077948
"Kavlya Killa",73.608055,18.13847
"Mahimaangad",74.4631,17.701697
"Vaarugad",74.441965,17.853025
"Vardhangad",74.263716,17.726491
"Santoshgad",74.322681,17.858243
